samples,method,estimate,uncertainty,abs_error,errorbar
1000,pseudo_mean,2.01376,0.0952734,0.0343186,0.0476367
10000,pseudo_mean,2.00641,0.0301826,0.0121645,0.0150913
100000,pseudo_mean,1.99911,0.0095581,0.00384217,0.00477905
1000000,pseudo_mean,1.99986,0.00302212,0.000874476,0.00151106
1000,sobol,1.98549,0.0958214,0.0145134,0.0479107
10000,sobol,1.99554,0.0302456,0.00446035,0.0151228
100000,sobol,2.00035,0.00955592,0.00034629,0.00477796
1000000,sobol,2.00012,0.00302197,0.000123237,0.00151099
