x,series,value
0.616,f(x)-g(x),-0.370629
0.618,f(x),0.57602
0.618,g(x),0.944304
0.618,f(x)-g(x),-0.368284
0.62,f(x),0.576461
0.62,g(x),0.9424
0.62,f(x)-g(x),-0.365939
0.622,f(x),0.576871
0.622,g(x),0.940464
0.622,f(x)-g(x),-0.363593
0.624,f(x),0.577248
0.624,g(x),0.938496
0.624,f(x)-g(x),-0.361248
0.626,f(x),0.577593
0.626,g(x),0.936496
0.626,f(x)-g(x),-0.358903
0.628,f(x),0.577906
0.628,g(x),0.934464
0.628,f(x)-g(x),-0.356558
0.63,f(x),0.578185
0.63,g(x),0.9324
0.63,f(x)-g(x),-0.354215
0.632,f(x),0.578432
0.632,g(x),0.930304
0.632,f(x)-g(x),-0.351872
0.634,f(x),0.578646
0.634,g(x),0.928176
0.634,f(x)-g(x),-0.34953
0.636,f(x),0.578827
0.636,g(x),0.926016
0.636,f(x)-g(x),-0.347189
0.638,f(x),0.578975
0.638,g(x),0.923824
0.638,f(x)-g(x),-0.344849
0.64,f(x),0.579089
0.64,g(x),0.9216
0.64,f(x)-g(x),-0.342511
0.642,f(x),0.57917
0.642,g(x),0.919344
0.642,f(x)-g(x),-0.340174
0.644,f(x),0.579217
0.644,g(x),0.917056
0.644,f(x)-g(x),-0.337839
0.646,f(x),0.57923
0.646,g(x),0.914736
0.646,f(x)-g(x),-0.335506
0.648,f(x),0.579209
0.648,g(x),0.912384
0.648,f(x)-g(x),-0.333175
0.65,f(x),0.579154
0.65,g(x),0.91
0.65,f(x)-g(x),-0.330846
0.652,f(x),0.579065
0.652,g(x),0.907584
0.652,f(x)-g(x),-0.328519
0.654,f(x),0.578941
0.654,g(x),0.905136
0.654,f(x)-g(x),-0.326195
0.656,f(x),0.578783
0.656,g(x),0.902656
0.656,f(x)-g(x),-0.323873
0.658,f(x),0.57859
0.658,g(x),0.900144
0.658,f(x)-g(x),-0.321554
0.66,f(x),0.578362
0.66,g(x),0.8976
0.66,f(x)-g(x),-0.319238
0.662,f(x),0.5781
0.662,g(x),0.895024
0.662,f(x)-g(x),-0.316924
0.664,f(x),0.577802
0.664,g(x),0.892416
0.664,f(x)-g(x),-0.314614
0.666,f(x),0.577469
0.666,g(x),0.889776
0.666,f(x)-g(x),-0.312307
0.668,f(x),0.577101
0.668,g(x),0.887104
0.668,f(x)-g(x),-0.310003
0.67,f(x),0.576697
0.67,g(x),0.8844
0.67,f(x)-g(x),-0.307703
0.672,f(x),0.576258
0.672,g(x),0.881664
0.672,f(x)-g(x),-0.305406
0.674,f(x),0.575783
0.674,g(x),0.878896
0.674,f(x)-g(x),-0.303113
0.676,f(x),0.575272
0.676,g(x),0.876096
0.676,f(x)-g(x),-0.300824
0.678,f(x),0.574726
0.678,g(x),0.873264
0.678,f(x)-g(x),-0.298538
0.68,f(x),0.574143
0.68,g(x),0.8704
0.68,f(x)-g(x),-0.296257
0.682,f(x),0.573524
0.682,g(x),0.867504
0.682,f(x)-g(x),-0.29398
0.684,f(x),0.572869
0.684,g(x),0.864576
0.684,f(x)-g(x),-0.291707
0.686,f(x),0.572178
0.686,g(x),0.861616
0.686,f(x)-g(x),-0.289438
0.688,f(x),0.57145
0.688,g(x),0.858624
0.688,f(x)-g(x),-0.287174
0.69,f(x),0.570686
0.69,g(x),0.8556
0.69,f(x)-g(x),-0.284914
0.692,f(x),0.569885
0.692,g(x),0.852544
0.692,f(x)-g(x),-0.282659
0.694,f(x),0.569047
0.694,g(x),0.849456
0.694,f(x)-g(x),-0.280409
0.696,f(x),0.568172
0.696,g(x),0.846336
0.696,f(x)-g(x),-0.278164
0.698,f(x),0.567261
0.698,g(x),0.843184
0.698,f(x)-g(x),-0.275923
0.7,f(x),0.566312
0.7,g(x),0.84
0.7,f(x)-g(x),-0.273688
0.702,f(x),0.565326
0.702,g(x),0.836784
0.702,f(x)-g(x),-0.271458
0.704,f(x),0.564303
0.704,g(x),0.833536
0.704,f(x)-g(x),-0.269233
0.706,f(x),0.563243
0.706,g(x),0.830256
0.706,f(x)-g(x),-0.267013
0.708,f(x),0.562145
0.708,g(x),0.826944
0.708,f(x)-g(x),-0.264799
0.71,f(x),0.56101
0.71,g(x),0.8236
0.71,f(x)-g(x),-0.26259
0.712,f(x),0.559837
0.712,g(x),0.820224
0.712,f(x)-g(x),-0.260387
0.714,f(x),0.558627
0.714,g(x),0.816816
0.714,f(x)-g(x),-0.258189
0.716,f(x),0.557379
0.716,g(x),0.813376
0.716,f(x)-g(x),-0.255997
0.718,f(x),0.556093
0.718,g(x),0.809904
0.718,f(x)-g(x),-0.253811
0.72,f(x),0.55477
0.72,g(x),0.8064
0.72,f(x)-g(x),-0.25163
0.722,f(x),0.553408
0.722,g(x),0.802864
0.722,f(x)-g(x),-0.249456
0.724,f(x),0.552008
0.724,g(x),0.799296
0.724,f(x)-g(x),-0.247288
0.726,f(x),0.550571
0.726,g(x),0.795696
0.726,f(x)-g(x),-0.245125
0.728,f(x),0.549095
0.728,g(x),0.792064
0.728,f(x)-g(x),-0.242969
0.73,f(x),0.547581
0.73,g(x),0.7884
0.73,f(x)-g(x),-0.240819
0.732,f(x),0.546029
0.732,g(x),0.784704
0.732,f(x)-g(x),-0.238675
0.734,f(x),0.544438
0.734,g(x),0.780976
0.734,f(x)-g(x),-0.236538
0.736,f(x),0.54281
0.736,g(x),0.777216
0.736,f(x)-g(x),-0.234406
0.738,f(x),0.541142
0.738,g(x),0.773424
0.738,f(x)-g(x),-0.232282
0.74,f(x),0.539437
0.74,g(x),0.7696
0.74,f(x)-g(x),-0.230163
0.742,f(x),0.537693
0.742,g(x),0.765744
0.742,f(x)-g(x),-0.228051
0.744,f(x),0.53591
0.744,g(x),0.761856
0.744,f(x)-g(x),-0.225946
0.746,f(x),0.534089
0.746,g(x),0.757936
0.746,f(x)-g(x),-0.223847
0.748,f(x),0.532229
0.748,g(x),0.753984
0.748,f(x)-g(x),-0.221755
0.75,f(x),0.53033
0.75,g(x),0.75
0.75,f(x)-g(x),-0.21967
0.752,f(x),0.528393
0.752,g(x),0.745984
0.752,f(x)-g(x),-0.217591
0.754,f(x),0.526417
0.754,g(x),0.741936
0.754,f(x)-g(x),-0.215519
0.756,f(x),0.524402
0.756,g(x),0.737856
0.756,f(x)-g(x),-0.213454
0.758,f(x),0.522348
0.758,g(x),0.733744
0.758,f(x)-g(x),-0.211396
0.76,f(x),0.520256
0.76,g(x),0.7296
0.76,f(x)-g(x),-0.209344
0.762,f(x),0.518124
0.762,g(x),0.725424
0.762,f(x)-g(x),-0.2073
0.764,f(x),0.515954
0.764,g(x),0.721216
0.764,f(x)-g(x),-0.205262
0.766,f(x),0.513745
0.766,g(x),0.716976
0.766,f(x)-g(x),-0.203231
0.768,f(x),0.511497
0.768,g(x),0.712704
0.768,f(x)-g(x),-0.201207
0.77,f(x),0.50921
0.77,g(x),0.7084
0.77,f(x)-g(x),-0.19919
0.772,f(x),0.506884
0.772,g(x),0.704064
0.772,f(x)-g(x),-0.19718
0.774,f(x),0.504519
0.774,g(x),0.699696
0.774,f(x)-g(x),-0.195177
0.776,f(x),0.502115
0.776,g(x),0.695296
0.776,f(x)-g(x),-0.193181
0.778,f(x),0.499673
0.778,g(x),0.690864
0.778,f(x)-g(x),-0.191191
0.78,f(x),0.497191
0.78,g(x),0.6864
0.78,f(x)-g(x),-0.189209
0.782,f(x),0.49467
0.782,g(x),0.681904
0.782,f(x)-g(x),-0.187234
0.784,f(x),0.49211
0.784,g(x),0.677376
0.784,f(x)-g(x),-0.185266
0.786,f(x),0.489511
0.786,g(x),0.672816
0.786,f(x)-g(x),-0.183305
0.788,f(x),0.486873
0.788,g(x),0.668224
0.788,f(x)-g(x),-0.181351
0.79,f(x),0.484197
0.79,g(x),0.6636
0.79,f(x)-g(x),-0.179403
0.792,f(x),0.481481
0.792,g(x),0.658944
0.792,f(x)-g(x),-0.177463
0.794,f(x),0.478726
0.794,g(x),0.654256
0.794,f(x)-g(x),-0.17553
0.796,f(x),0.475932
0.796,g(x),0.649536
0.796,f(x)-g(x),-0.173604
0.798,f(x),0.4731
0.798,g(x),0.644784
0.798,f(x)-g(x),-0.171684
0.8,f(x),0.470228
0.8,g(x),0.64
0.8,f(x)-g(x),-0.169772
0.802,f(x),0.467318
0.802,g(x),0.635184
0.802,f(x)-g(x),-0.167866
0.804,f(x),0.464368
0.804,g(x),0.630336
0.804,f(x)-g(x),-0.165968
0.806,f(x),0.46138
0.806,g(x),0.625456
0.806,f(x)-g(x),-0.164076
0.808,f(x),0.458353
0.808,g(x),0.620544
0.808,f(x)-g(x),-0.162191
0.81,f(x),0.455288
0.81,g(x),0.6156
0.81,f(x)-g(x),-0.160312
0.812,f(x),0.452183
0.812,g(x),0.610624
0.812,f(x)-g(x),-0.158441
0.814,f(x),0.44904
0.814,g(x),0.605616
0.814,f(x)-g(x),-0.156576
0.816,f(x),0.445858
0.816,g(x),0.600576
0.816,f(x)-g(x),-0.154718
0.818,f(x),0.442637
0.818,g(x),0.595504
0.818,f(x)-g(x),-0.152867
0.82,f(x),0.439378
0.82,g(x),0.5904
0.82,f(x)-g(x),-0.151022
0.822,f(x),0.43608
0.822,g(x),0.585264
0.822,f(x)-g(x),-0.149184
0.824,f(x),0.432744
0.824,g(x),0.580096
0.824,f(x)-g(x),-0.147352
0.826,f(x),0.429369
0.826,g(x),0.574896
0.826,f(x)-g(x),-0.145527
0.828,f(x),0.425956
0.828,g(x),0.569664
0.828,f(x)-g(x),-0.143708
0.83,f(x),0.422504
0.83,g(x),0.5644
0.83,f(x)-g(x),-0.141896
0.832,f(x),0.419015
0.832,g(x),0.559104
0.832,f(x)-g(x),-0.140089
0.834,f(x),0.415486
0.834,g(x),0.553776
0.834,f(x)-g(x),-0.13829
0.836,f(x),0.41192
0.836,g(x),0.548416
0.836,f(x)-g(x),-0.136496
0.838,f(x),0.408316
0.838,g(x),0.543024
0.838,f(x)-g(x),-0.134708
0.84,f(x),0.404673
0.84,g(x),0.5376
0.84,f(x)-g(x),-0.132927
0.842,f(x),0.400993
0.842,g(x),0.532144
0.842,f(x)-g(x),-0.131151
0.844,f(x),0.397274
0.844,g(x),0.526656
0.844,f(x)-g(x),-0.129382
0.846,f(x),0.393518
0.846,g(x),0.521136
0.846,f(x)-g(x),-0.127618
0.848,f(x),0.389724
0.848,g(x),0.515584
0.848,f(x)-g(x),-0.12586
0.85,f(x),0.385892
0.85,g(x),0.51
0.85,f(x)-g(x),-0.124108
0.852,f(x),0.382023
0.852,g(x),0.504384
0.852,f(x)-g(x),-0.122361
0.854,f(x),0.378116
0.854,g(x),0.498736
0.854,f(x)-g(x),-0.12062
0.856,f(x),0.374171
0.856,g(x),0.493056
0.856,f(x)-g(x),-0.118885
0.858,f(x),0.370189
0.858,g(x),0.487344
0.858,f(x)-g(x),-0.117155
0.86,f(x),0.36617
0.86,g(x),0.4816
0.86,f(x)-g(x),-0.11543
0.862,f(x),0.362114
0.862,g(x),0.475824
0.862,f(x)-g(x),-0.11371
0.864,f(x),0.358021
0.864,g(x),0.470016
0.864,f(x)-g(x),-0.111995
0.866,f(x),0.35389
0.866,g(x),0.464176
0.866,f(x)-g(x),-0.110286
0.868,f(x),0.349723
0.868,g(x),0.458304
0.868,f(x)-g(x),-0.108581
0.87,f(x),0.345519
0.87,g(x),0.4524
0.87,f(x)-g(x),-0.106881
0.872,f(x),0.341278
0.872,g(x),0.446464
0.872,f(x)-g(x),-0.105186
0.874,f(x),0.337
0.874,g(x),0.440496
0.874,f(x)-g(x),-0.103496
0.876,f(x),0.332686
0.876,g(x),0.434496
0.876,f(x)-g(x),-0.10181
0.878,f(x),0.328336
0.878,g(x),0.428464
0.878,f(x)-g(x),-0.100128
0.88,f(x),0.32395
0.88,g(x),0.4224
0.88,f(x)-g(x),-0.0984504
0.882,f(x),0.319527
0.882,g(x),0.416304
0.882,f(x)-g(x),-0.0967771
0.884,f(x),0.315068
0.884,g(x),0.410176
0.884,f(x)-g(x),-0.0951079
0.886,f(x),0.310573
0.886,g(x),0.404016
0.886,f(x)-g(x),-0.0934426
0.888,f(x),0.306043
0.888,g(x),0.397824
0.888,f(x)-g(x),-0.0917811
0.89,f(x),0.301477
0.89,g(x),0.3916
0.89,f(x)-g(x),-0.0901233
0.892,f(x),0.296875
0.892,g(x),0.385344
0.892,f(x)-g(x),-0.088469
0.894,f(x),0.292238
0.894,g(x),0.379056
0.894,f(x)-g(x),-0.0868181
0.896,f(x),0.287565
0.896,g(x),0.372736
0.896,f(x)-g(x),-0.0851705
0.898,f(x),0.282858
0.898,g(x),0.366384
0.898,f(x)-g(x),-0.0835261
0.9,f(x),0.278115
0.9,g(x),0.36
0.9,f(x)-g(x),-0.0818847
0.902,f(x),0.273338
0.902,g(x),0.353584
0.902,f(x)-g(x),-0.0802462
0.904,f(x),0.268526
0.904,g(x),0.347136
0.904,f(x)-g(x),-0.0786104
0.906,f(x),0.263679
0.906,g(x),0.340656
0.906,f(x)-g(x),-0.0769772
0.908,f(x),0.258797
0.908,g(x),0.334144
0.908,f(x)-g(x),-0.0753465
0.91,f(x),0.253882
0.91,g(x),0.3276
0.91,f(x)-g(x),-0.0737181
0.912,f(x),0.248932
0.912,g(x),0.321024
0.912,f(x)-g(x),-0.0720918
0.914,f(x),0.243948
0.914,g(x),0.314416
0.914,f(x)-g(x),-0.0704676
0.916,f(x),0.238931
0.916,g(x),0.307776
0.916,f(x)-g(x),-0.0688452
0.918,f(x),0.23388
0.918,g(x),0.301104
0.918,f(x)-g(x),-0.0672245
0.92,f(x),0.228795
0.92,g(x),0.2944
0.92,f(x)-g(x),-0.0656053
0.922,f(x),0.223676
0.922,g(x),0.287664
0.922,f(x)-g(x),-0.0639875
0.924,f(x),0.218525
0.924,g(x),0.280896
0.924,f(x)-g(x),-0.0623709
0.926,f(x),0.213341
0.926,g(x),0.274096
0.926,f(x)-g(x),-0.0607554
0.928,f(x),0.208123
0.928,g(x),0.267264
0.928,f(x)-g(x),-0.0591407
0.93,f(x),0.202873
0.93,g(x),0.2604
0.93,f(x)-g(x),-0.0575268
0.932,f(x),0.197591
0.932,g(x),0.253504
0.932,f(x)-g(x),-0.0559134
0.934,f(x),0.192276
0.934,g(x),0.246576
0.934,f(x)-g(x),-0.0543003
0.936,f(x),0.186929
0.936,g(x),0.239616
0.936,f(x)-g(x),-0.0526875
0.938,f(x),0.181549
0.938,g(x),0.232624
0.938,f(x)-g(x),-0.0510746
0.94,f(x),0.176138
0.94,g(x),0.2256
0.94,f(x)-g(x),-0.0494616
0.942,f(x),0.170696
0.942,g(x),0.218544
0.942,f(x)-g(x),-0.0478482
0.944,f(x),0.165222
0.944,g(x),0.211456
0.944,f(x)-g(x),-0.0462342
0.946,f(x),0.159716
0.946,g(x),0.204336
0.946,f(x)-g(x),-0.0446196
0.948,f(x),0.15418
0.948,g(x),0.197184
0.948,f(x)-g(x),-0.043004
0.95,f(x),0.148613
0.95,g(x),0.19
0.95,f(x)-g(x),-0.0413873
0.952,f(x),0.143015
0.952,g(x),0.182784
0.952,f(x)-g(x),-0.0397692
0.954,f(x),0.137386
0.954,g(x),0.175536
0.954,f(x)-g(x),-0.0381497
0.956,f(x),0.131728
0.956,g(x),0.168256
0.956,f(x)-g(x),-0.0365285
0.958,f(x),0.126039
0.958,g(x),0.160944
0.958,f(x)-g(x),-0.0349053
0.96,f(x),0.12032
0.96,g(x),0.1536
0.96,f(x)-g(x),-0.0332801
0.962,f(x),0.114571
0.962,g(x),0.146224
0.962,f(x)-g(x),-0.0316525
0.964,f(x),0.108794
0.964,g(x),0.138816
0.964,f(x)-g(x),-0.0300224
0.966,f(x),0.102986
0.966,g(x),0.131376
0.966,f(x)-g(x),-0.0283896
0.968,f(x),0.0971501
0.968,g(x),0.123904
0.968,f(x)-g(x),-0.0267539
0.97,f(x),0.0912851
0.97,g(x),0.1164
0.97,f(x)-g(x),-0.0251149
0.972,f(x),0.0853914
0.972,g(x),0.108864
0.972,f(x)-g(x),-0.0234726
0.974,f(x),0.0794693
0.974,g(x),0.101296
0.974,f(x)-g(x),-0.0218267
0.976,f(x),0.073519
0.976,g(x),0.093696
0.976,f(x)-g(x),-0.020177
0.978,f(x),0.0675407
0.978,g(x),0.086064
0.978,f(x)-g(x),-0.0185233
0.98,f(x),0.0615347
0.98,g(x),0.0784
0.98,f(x)-g(x),-0.0168653
0.982,f(x),0.0555012
0.982,g(x),0.070704
0.982,f(x)-g(x),-0.0152028
0.984,f(x),0.0494404
0.984,g(x),0.062976
0.984,f(x)-g(x),-0.0135356
0.986,f(x),0.0433526
0.986,g(x),0.055216
0.986,f(x)-g(x),-0.0118634
0.988,f(x),0.0372379
0.988,g(x),0.047424
0.988,f(x)-g(x),-0.0101861
0.99,f(x),0.0310967
0.99,g(x),0.0396
0.99,f(x)-g(x),-0.00850335
0.992,f(x),0.0249291
0.992,g(x),0.031744
0.992,f(x)-g(x),-0.00681495
0.994,f(x),0.0187353
0.994,g(x),0.023856
0.994,f(x)-g(x),-0.00512065
0.996,f(x),0.0125158
0.996,g(x),0.015936
0.996,f(x)-g(x),-0.00342022
0.998,f(x),0.00627058
0.998,g(x),0.007984
0.998,f(x)-g(x),-0.00171342
1,f(x),1.22465e-16
1,g(x),-0
1,f(x)-g(x),1.22465e-16
