x,series,value
0.12,f(x)-g(x),-0.378225
0.122,f(x),0.045623
0.122,g(x),0.428464
0.122,f(x)-g(x),-0.382841
0.124,f(x),0.0470926
0.124,g(x),0.434496
0.124,f(x)-g(x),-0.387403
0.126,f(x),0.0485836
0.126,g(x),0.440496
0.126,f(x)-g(x),-0.391912
0.128,f(x),0.0500958
0.128,g(x),0.446464
0.128,f(x)-g(x),-0.396368
0.13,f(x),0.0516292
0.13,g(x),0.4524
0.13,f(x)-g(x),-0.400771
0.132,f(x),0.0531836
0.132,g(x),0.458304
0.132,f(x)-g(x),-0.40512
0.134,f(x),0.054759
0.134,g(x),0.464176
0.134,f(x)-g(x),-0.409417
0.136,f(x),0.0563551
0.136,g(x),0.470016
0.136,f(x)-g(x),-0.413661
0.138,f(x),0.0579718
0.138,g(x),0.475824
0.138,f(x)-g(x),-0.417852
0.14,f(x),0.0596091
0.14,g(x),0.4816
0.14,f(x)-g(x),-0.421991
0.142,f(x),0.0612668
0.142,g(x),0.487344
0.142,f(x)-g(x),-0.426077
0.144,f(x),0.0629447
0.144,g(x),0.493056
0.144,f(x)-g(x),-0.430111
0.146,f(x),0.0646427
0.146,g(x),0.498736
0.146,f(x)-g(x),-0.434093
0.148,f(x),0.0663607
0.148,g(x),0.504384
0.148,f(x)-g(x),-0.438023
0.15,f(x),0.0680986
0.15,g(x),0.51
0.15,f(x)-g(x),-0.441901
0.152,f(x),0.0698561
0.152,g(x),0.515584
0.152,f(x)-g(x),-0.445728
0.154,f(x),0.0716333
0.154,g(x),0.521136
0.154,f(x)-g(x),-0.449503
0.156,f(x),0.0734298
0.156,g(x),0.526656
0.156,f(x)-g(x),-0.453226
0.158,f(x),0.0752456
0.158,g(x),0.532144
0.158,f(x)-g(x),-0.456898
0.16,f(x),0.0770806
0.16,g(x),0.5376
0.16,f(x)-g(x),-0.460519
0.162,f(x),0.0789345
0.162,g(x),0.543024
0.162,f(x)-g(x),-0.464089
0.164,f(x),0.0808073
0.164,g(x),0.548416
0.164,f(x)-g(x),-0.467609
0.166,f(x),0.0826987
0.166,g(x),0.553776
0.166,f(x)-g(x),-0.471077
0.168,f(x),0.0846087
0.168,g(x),0.559104
0.168,f(x)-g(x),-0.474495
0.17,f(x),0.086537
0.17,g(x),0.5644
0.17,f(x)-g(x),-0.477863
0.172,f(x),0.0884836
0.172,g(x),0.569664
0.172,f(x)-g(x),-0.48118
0.174,f(x),0.0904482
0.174,g(x),0.574896
0.174,f(x)-g(x),-0.484448
0.176,f(x),0.0924307
0.176,g(x),0.580096
0.176,f(x)-g(x),-0.487665
0.178,f(x),0.094431
0.178,g(x),0.585264
0.178,f(x)-g(x),-0.490833
0.18,f(x),0.0964488
0.18,g(x),0.5904
0.18,f(x)-g(x),-0.493951
0.182,f(x),0.0984841
0.182,g(x),0.595504
0.182,f(x)-g(x),-0.49702
0.184,f(x),0.100537
0.184,g(x),0.600576
0.184,f(x)-g(x),-0.500039
0.186,f(x),0.102606
0.186,g(x),0.605616
0.186,f(x)-g(x),-0.50301
0.188,f(x),0.104693
0.188,g(x),0.610624
0.188,f(x)-g(x),-0.505931
0.19,f(x),0.106796
0.19,g(x),0.6156
0.19,f(x)-g(x),-0.508804
0.192,f(x),0.108916
0.192,g(x),0.620544
0.192,f(x)-g(x),-0.511628
0.194,f(x),0.111052
0.194,g(x),0.625456
0.194,f(x)-g(x),-0.514404
0.196,f(x),0.113204
0.196,g(x),0.630336
0.196,f(x)-g(x),-0.517132
0.198,f(x),0.115373
0.198,g(x),0.635184
0.198,f(x)-g(x),-0.519811
0.2,f(x),0.117557
0.2,g(x),0.64
0.2,f(x)-g(x),-0.522443
0.202,f(x),0.119757
0.202,g(x),0.644784
0.202,f(x)-g(x),-0.525027
0.204,f(x),0.121973
0.204,g(x),0.649536
0.204,f(x)-g(x),-0.527563
0.206,f(x),0.124203
0.206,g(x),0.654256
0.206,f(x)-g(x),-0.530053
0.208,f(x),0.12645
0.208,g(x),0.658944
0.208,f(x)-g(x),-0.532494
0.21,f(x),0.12871
0.21,g(x),0.6636
0.21,f(x)-g(x),-0.53489
0.212,f(x),0.130986
0.212,g(x),0.668224
0.212,f(x)-g(x),-0.537238
0.214,f(x),0.133277
0.214,g(x),0.672816
0.214,f(x)-g(x),-0.539539
0.216,f(x),0.135581
0.216,g(x),0.677376
0.216,f(x)-g(x),-0.541795
0.218,f(x),0.1379
0.218,g(x),0.681904
