samples,method,estimate,uncertainty,abs_error,errorbar
100,uniform_mc,0.950175,0.0949972,0.0498251,0.0474986
1000,uniform_mc,0.976696,0.0310963,0.0233042,0.0155481
10000,uniform_mc,0.989659,0.00970847,0.0103408,0.00485424
100000,uniform_mc,0.999915,0.00305595,8.52206e-05,0.00152798
1000000,uniform_mc,1.00022,0.000967005,0.000222312,0.000483502
100,importance_sampling_mc,1.01523,0.0249518,0.0152336,0.0124759
1000,importance_sampling_mc,1.00591,0.00827096,0.0059111,0.00413548
10000,importance_sampling_mc,1.00296,0.00258507,0.00296147,0.00129253
100000,importance_sampling_mc,1.00009,0.000817451,9.00336e-05,0.000408726
1000000,importance_sampling_mc,0.999935,0.000258807,6.50996e-05,0.000129403
