samples,method,estimate,uncertainty,abs_error,errorbar
100,plain,6.46944,0.855213,0.186256,0.427607
100,miser,6.06578,0.85793,0.217404,0.428965
100,vegas,6.27952,0.0139908,0.00366741,0.00699541
200,plain,5.90993,0.66428,0.373252,0.33214
200,miser,6.19351,0.627445,0.0896773,0.313722
200,vegas,6.28122,0.00431357,0.00196542,0.00215678
500,plain,6.39009,0.402392,0.1069,0.201196
500,miser,6.10767,0.397897,0.175519,0.198949
500,vegas,6.28333,0.00116205,0.000147123,0.000581026
1000,plain,6.32331,0.282888,0.0401241,0.141444
1000,miser,5.8599,0.296267,0.423286,0.148133
1000,vegas,6.28325,0.000396527,6.94612e-05,0.000198263
2000,plain,6.22008,0.196623,0.0631042,0.0983114
2000,miser,6.34205,0.0964408,0.0588624,0.0482204
2000,vegas,6.28313,0.000138162,5.54263e-05,6.90812e-05
5000,plain,6.32489,0.125918,0.0417039,0.0629591
5000,miser,6.28546,0.0298416,0.00227079,0.0149208
5000,vegas,6.28317,3.42296e-05,1.1114e-05,1.71148e-05
10000,plain,6.28264,0.0885466,0.000542949,0.0442733
10000,miser,6.27546,0.0155783,0.00772866,0.00778913
10000,vegas,6.28318,1.21273e-05,9.70574e-07,6.06367e-06
20000,plain,6.27624,0.0627625,0.00694356,0.0313812
20000,miser,6.28664,0.00587079,0.00345244,0.0029354
20000,vegas,6.28318,4.29703e-06,8.41177e-07,2.14851e-06
50000,plain,6.29233,0.0397126,0.00914513,0.0198563
50000,miser,6.28374,0.00221608,0.000551172,0.00110804
50000,vegas,6.28319,1.08938e-06,3.79512e-07,5.44689e-07
100000,plain,6.26562,0.02811,0.0175702,0.014055
100000,miser,6.28369,0.000879228,0.000501564,0.000439614
100000,vegas,6.28318,3.84728e-07,3.89716e-07,1.92364e-07
200000,plain,6.27061,0.0198875,0.0125715,0.00994376
200000,miser,6.28323,0.000375117,4.17817e-05,0.000187558
200000,vegas,6.28319,1.35863e-07,1.41154e-07,6.79314e-08
500000,plain,6.28622,0.0125668,0.00303808,0.00628341
500000,miser,6.28315,0.000116472,3.83455e-05,5.8236e-05
500000,vegas,6.28319,3.43958e-08,1.10823e-08,1.71979e-08
1000000,plain,6.28973,0.0088861,0.00654113,0.00444305
1000000,miser,6.28316,4.95548e-05,2.23413e-05,2.47774e-05
1000000,vegas,6.28319,1.21476e-08,3.41653e-09,6.07379e-09
2000000,plain,6.28454,0.00628486,0.00134998,0.00314243
2000000,miser,6.28317,1.98746e-05,1.56292e-05,9.9373e-06
2000000,vegas,6.28319,4.29438e-09,2.13989e-09,2.14719e-09
5000000,plain,6.28148,0.00397354,0.00170827,0.00198677
5000000,miser,6.28318,6.39612e-06,1.7923e-06,3.19806e-06
5000000,vegas,6.28319,1.08682e-09,1.90801e-10,5.43409e-10
10000000,plain,6.2818,0.00280966,0.00138665,0.00140483
10000000,miser,6.28318,2.54552e-06,2.40795e-06,1.27276e-06
10000000,vegas,6.28319,3.8401e-10,1.58026e-10,1.92005e-10
20000000,plain,6.28479,0.00198685,0.00160184,0.000993423
20000000,miser,6.28319,1.07502e-06,6.05637e-07,5.3751e-07
20000000,vegas,6.28319,1.35791e-10,3.82601e-11,6.78956e-11
50000000,plain,6.28421,0.00125664,0.00102282,0.000628322
50000000,miser,6.28319,3.29417e-07,2.91691e-08,1.64708e-07
50000000,vegas,6.28319,3.4349e-11,6.9571e-12,1.71745e-11
